[*] Hunting for Roland Directory Entries in: SP-808TS25E.ima
Offset       | LBA      | Name Found
0xbbc0       | 93       | TAKE0168
0xbbe0       | 93       | TAKE0169
0xbc00       | 94       | TAKE0170
0xbc20       | 94       | TAKE0171
0xbc40       | 94       | TAKE0172
0xbc60       | 94       | TAKE0173
0xbc80       | 94       | TAKE0174
0xbca0       | 94       | TAKE0175
0xbcc0       | 94       | TAKE0176
0xbce0       | 94       | TAKE0177
0xbd00       | 94       | TAKE0178
0xbd20       | 94       | TAKE0179
0xbd40       | 94       | TAKE0180
0xbd60       | 94       | TAKE0181
0xbd80       | 94       | TAKE0182
0xbda0       | 94       | TAKE0183
0xbdc0       | 94       | TAKE0184
0xbde0       | 94       | TAKE0185
0xbe00       | 95       | TAKE0186
0xbe20       | 95       | TAKE0187
0xbe40       | 95       | TAKE0188
0xbe60       | 95       | TAKE0189
0xbe80       | 95       | TAKE0190
0xbea0       | 95       | TAKE0191
0xbec0       | 95       | TAKE0192
0xbee0       | 95       | TAKE0193
0xbf00       | 95       | TAKE0194
0xbf20       | 95       | TAKE0195
0xbf40       | 95       | TAKE0196
0xbf60       | 95       | TAKE0197
0xbf80       | 95       | TAKE0198
0xbfa0       | 95       | TAKE0199
0xbfc0       | 95       | TAKE0200
0xbfe0       | 95       | TAKE0201
0xc000       | 96       | TAKE0202
0xc020       | 96       | TAKE0203
0xc040       | 96       | TAKE0204
0xc060       | 96       | TAKE0205
0xc080       | 96       | TAKE0206
0xc0a0       | 96       | TAKE0207
0xc0c0       | 96       | TAKE0208
0xc0e0       | 96       | TAKE0209
0xc100       | 96       | TAKE0210
0xc120       | 96       | TAKE0211
0xc140       | 96       | TAKE0212
0xc160       | 96       | TAKE0213
0xc180       | 96       | TAKE0214
0xc1a0       | 96       | TAKE0215
0xc1c0       | 96       | TAKE0216
0xc1e0       | 96       | TAKE0217
0xc200       | 97       | TAKE0218
0xc220       | 97       | TAKE0219
0xc240       | 97       | TAKE0220
0xc260       | 97       | TAKE0221
0xc280       | 97       | TAKE0222
0xc2a0       | 97       | TAKE0223
0xc2c0       | 97       | TAKE0224
0xc2e0       | 97       | TAKE0225
0xc300       | 97       | TAKE0226
0xc320       | 97       | TAKE0227
0xc340       | 97       | TAKE0228
0xc360       | 97       | TAKE0229
0xc380       | 97       | TAKE0230
0xc3a0       | 97       | TAKE0231
0xc3c0       | 97       | TAKE0232
0xc3e0       | 97       | TAKE0233
0xc400       | 98       | TAKE0234
0xc420       | 98       | TAKE0235
0xc440       | 98       | TAKE0236
0xc460       | 98       | TAKE0237
0xc480       | 98       | TAKE0238
0xc4a0       | 98       | TAKE0239
0xc4c0       | 98       | TAKE0240
0xc4e0       | 98       | TAKE0241
0xc500       | 98       | TAKE0242
0xc520       | 98       | TAKE0243
0xc540       | 98       | TAKE0244
0xc560       | 98       | TAKE0245
0xc580       | 98       | TAKE0246
0xc5a0       | 98       | TAKE0247
0xc5c0       | 98       | TAKE0248
0xc5e0       | 98       | TAKE0249
0xc600       | 99       | TAKE0250
0xc620       | 99       | TAKE0251
0xc640       | 99       | TAKE0252
0xc660       | 99       | TAKE0253
0xc680       | 99       | TAKE0256
0xc6c0       | 99       | TAKE0259
0xc6e0       | 99       | TAKE0260
0xc700       | 99       | TAKE0263
0xc720       | 99       | TAKE0264
0xc740       | 99       | TAKE0267
0xc760       | 99       | TAKE0273
0xc780       | 99       | TAKE0274
0xc7a0       | 99       | TAKE0288
0xc7c0       | 99       | TAKE0290
0xc7e0       | 99       | TAKE0292
0xc800       | 100      | TAKE0294
0xc820       | 100      | TAKE0296
0xc840       | 100      | TAKE0297
0xc860       | 100      | VSNG0000
0xc880       | 100      | VSNG0001
0xc8a0       | 100      | VSNG0002
0xc8c0       | 100      | VSNG0003
0xc8e0       | 100      | VSNG0004
0xc900       | 100      | VSNG0005
0xc920       | 100      | VSNG0006
0xc940       | 100      | VSNG0007
0xc960       | 100      | VSNG0010
0xc980       | 100      | VSNGLIST
0xc9a0       | 100      | WAVELIST
0x1a600      | 211      | .
0x1a620      | 211      | ..
0x1a680      | 211      | WPSETT~1
0x257c5a0    | 76770    | @@" AX;~
0x2fba600    | 97747    | DEB/PT]v
